feature,mean_dist_contrib
amount_vs_sender_avg,0.07917028665542603
sender_state_enc,0.0721994936466217
receiver_state_enc,0.07078343629837036
sender_bank_enc,0.056608691811561584
receiver_bank_enc,0.05549675226211548
velocity_1h,0.0484391525387764
unique_receivers_1h,0.04761350527405739
amount_log,0.0405629463493824
receiver_txn_count_24h,0.04038264974951744
amount,0.03859759494662285
velocity_24h,0.03856147453188896
amount_entropy_1h,0.03360500559210777
receiver_amount_sum_24h,0.03237645700573921
upi_app_enc,0.023907043039798737
merchant_cat_enc,0.02144124172627926
txn_hour,0.020167620852589607
txn_day,0.0201130174100399
cross_bank,0.01328835729509592
cross_state,0.01148730143904686
is_weekend,0.008963881060481071
is_night,0.008069842122495174
is_new_device,0.00024381351249758154
is_round_amount,3.560855839168653e-05
