feature,mean_abs_shap
cross_state,0.27403101925368206
is_night,0.2568880688871592
cross_bank,0.22650588791739804
is_weekend,0.2085972688245823
amount_vs_sender_avg,0.1882420783821862
upi_app_enc,0.16276646824615185
amount,0.1587958941321279
velocity_1h,0.14505171928628602
receiver_state_enc,0.13483828496940073
amount_entropy_1h,0.12745460619163268
merchant_cat_enc,0.12417518612903879
amount_log,0.10484920503312684
receiver_bank_enc,0.1024481257409027
sender_bank_enc,0.10187080105976597
receiver_amount_sum_24h,0.10065252185691913
unique_receivers_1h,0.09956120789297582
txn_hour,0.09467619626269888
sender_state_enc,0.09448648825394926
velocity_24h,0.08383704122658589
txn_day,0.0776991708727823
receiver_txn_count_24h,0.07569239389628021
is_new_device,0.013285150274711714
is_round_amount,0.0013361606961934498
